,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
10,Clinical Lab Scientist/MT,-1,"Description

Performs various routine and complex clinical laboratory tests according to established policies and procedures in order to obtain data for use in the diagnosis and treatment of disease. Assess test results for accuracy. Performs routine scheduled preventative maintenance, calibration, and minor problem troubleshooting on laboratory instruments. May perform blood specimen collection, training personnel and students. Independent judgment and professional education and certification are required.

Qualifications

REQUIRED QUALIFICATIONS:

A bachelor’s degree in Clinical/Medical Laboratory Science.

Successful completion of the ASCP or AMT Board of Certification CLS exam within the first year of employment is also required.

Alternative bachelor’s degrees are acceptable with successful completion of ASCP or AMT CLS certification exam prior to employment.

Maintains current certification according to guidelines established by appropriate certifying agency.

Interpersonal skills sufficient to interact effectively and communicate with patients and other health care professionals.

http://www.osfcareers.orgHigh level of professionalism and skillful performance in stressful situations.

Must possess sufficient academic, technical, and clinical skills and knowledge to evaluate, troubleshoot, research, and resolve day-to-day problems that arise or special projects as assigned by the laboratory management.

PREFERRED QUALIFICATIONS:

Experience not required but 1-2 years preferred.

EOE/Minorities/Females/Vet/Disabled

Job seekers will be afforded equal opportunity regardless of their race, ethnicity, veteran status or disability status.

Experience the OSF culture and community by clicking here.",3.8,"OSF Healthcare
3.8","Danville, IL",-1,10000+ Employees,1877,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1
11,Technical Service Field Scientist – Biofuels North America,-1,"Pioneer a brighter future
At Novozymes, we work in close partnership with our customers and the global community to make a sustainable impact. We use science to advance industries, and as part of Agriculture & Bioenergy, you will work across the agricultural value chain to provide biological solutions that help feed and fuel a growing world.

Technical Service Field Scientist – Biofuels North America
The US ethanol industry is an exciting and dynamic place to work and we are looking for motivated individuals to implement our market-leading products and services.

We are looking for an experienced and personable candidate to join our Biofuels Technical Service team. In this role, you will work with our customers at ethanol plants across the US to learn their processes, understand their challenges, and deliver products and services from Novozymes’ wide portfolio. This will require strong collaboration both with the ethanol producers and the Novozymes Biofuels team.

To be successful in this role, you should be a strong logical thinker with the ability to solve complex technical problems and communicate in an understandable and convincing manner. In addition, you should have a business understanding of how the science will impact economic factors for Novozymes and our customers. In this dynamic and evolving industry, you will need to be able to adapt to exciting and ever-changing information and technology.

Location
The position will ideally be based out of a home office in Kansas City, MO or the surrounding states including Missouri, Illinois, Iowa, and Nebraska.

In this position you need to have:
A minimum of 4 years of relevant experience in the Ethanol industry or Agricultural industry.
A minimum of a BS degree in a scientific field such as Engineering, Chemistry, Biology, Microbiology, Biochemistry.
A solid science background, including engineering, data analysis and fermentation.
Both process experience in the ethanol or corn milling industry and experience working in a technical service or technical sales role (would be ideal).
Ability to travel approximately 50%.

Note: The job level can potentially be adjusted to accommodate applicants with significantly more experience

Are you the next Zymer in our team? Consider a career with Novozymes and let’s realize your potential together.

Novozymes is the world leader in biological solutions. Together with customers, partners and the global community, we improve industrial performance while preserving the planet’s resources and helping build better lives. As the world’s largest provider of enzyme and microbial technologies, our bioinnovation enables higher agricultural yields, low-temperature washing, energy-efficient production, renewable fuel and many other benefits that we rely on today and in the future. We call it Rethink Tomorrow. www.novozymes.com

Novozymes is committed to creating a diverse environment and is proud to be an equal opportunity and affirmative action employer. All employment decisions are based on business needs without regard to race, color, ethnicity, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, age, disability or veteran status.

Application deadline: October 30, 2020",3.8,"Novozymes
3.8","Ames, IA",-1,5001 to 10000 Employees,2000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
12,Research Scientist,-1,"Job Description:

Our Reston office is seeking talented candidates to develop mathematical models and algorithms, develop and demonstrate prototype software, and participate in operational analysis related to their technical work. Our Reston office employs mathematicians, physicists and computer scientists. We routinely apply stochastic processes, statistical inference, optimization and scheduling, models of random graphs and applied physics to develop the underlying theory and applications for our clients. The successful candidate will interact with customers, gather requirements and data, write and present briefings, and contribute to the development of Metron tools.

Projects typically involve developing advanced algorithms implemented in a computer prototype system for our research & development customers. We work in small teams, led by Senior Scientists, who work closely with new employees. Project teams work together from the initial system concept, through software and algorithm design, to implementation and demonstration.

We believe an employee's specific academic training is not as important as their innate ability and willingness to learn new areas of mathematics and work on difficult problems.

Required Qualifications:
MS or PhD in Computer Science, Mathematics, Applied Mathematics, Physics or Operations Research
Some programming experience is preferred (C, C++, Java, Matlab, etc.)
Mathematical, simulation, or physical modeling experience highly desired
US Citizenship required, position will require background investigation to authorize access to classified information

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
13,Associate Data Scientist,-1,"Job Description

As an Associate Data Scientist, you will apply modern data storage, movement, and transformation architectures and techniques to extract and engineer features from any scale structured or unstructured data in health, IT system, business processes, or external data. You will also access, cleanse, compile, and transform disparate data sets to conduct exploratory and pre-defined analyses using scientifically valid techniques and generate meaningful insights as well as assist with feasibility studies to identify data availability, quality and modeling requirements, and dependencies.

Qualifications

Basic Qualifications
Master’s Degree in Statistics, Computer Science, Analytics, Biostatistics, Applied Mathematics, Software Engineering, Data Science, or related field, or equivalent relevant work experience
At least 1 year of statistical programming and applied programming work experience
At least 1 year Data mining, quantitative analysis, and/or statistical modeling including predictive performance and algorithm optimization work experience
Preferred Qualifications
Experience with relational databases and SQL; NoSQL databases (hBase, Cassandra, MongoDB, Couch DB, Riak) and unstructured data; Spark; Pig and Avro
Experience with agile software development methodologies
Expectations
Willing to travel up to 20% of the time as needed
Must be currently residing in or willing to relocate to the Kansas City metro area",4.0,"Cerner
4.0","North Kansas City, MO",-1,10000+ Employees,1979,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),-1
14,Sr. Data Scientist,-1,"Medifast is seeking a full-time Senior Data Scientist to join our team.
The Senior Data Scientist will be responsible for anticipating future business needs, solving real-time business questions, and identifying new applications for complex analysis.
The candidate focus will be using Machine Learning for the following use cases at Medifast:
Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, Natural Language Processing, AB Testing, and Customer Segmentation (Unsupervised Learning).

Employ machine learning and statistical modeling to generate new features to feed into our data core. Key Models include: Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, and Customer Segmentation
Use storytelling to bring out the insights derived from machine learning and statistical modeling making the complex easy to follow and digestible
Perform automated market analyses to dynamically react to changing market conditions
Discover new predictive insights in our datasets and design measures that compute new predictive models while using data visualization methodology
Assist the Insights Center Manager in using Data Science to enhance the Insights Roadmap and assist in the selection of Data Science products to help enable and maintain the Data Science stack
Create measures that monitor inputs and performance on a real-time basis to inform the insights council when unexpected changes arise.
Be active in communications with business users and data management resources to collaborate through a project lifecycle as data changes occur
Aid and train end super users to effectively use the Data Science platform
Coordinate with offshore technical resources

PHD degree or equivalent preferred in Applied Statistics, Mathematics or a related data field
5-8 years related experience
Executing solutions to business problems using advanced statistics, testing methods, data analysis, data mining, predictive modeling, optimization, and machine learning techniques;
Design and run end-to-end experiments with statistical rigor for test and learn, apply appropriate sampling methods and probabilistic simulations to hypothesis testing and parameter estimation including bootstrapping
Perform data exploration and visualization (using Tableau and other visualization tools), apply machine learning and statistical inference to seed hypotheses, identify opportunities, define metrics, provide interpretability to multi-dimensional scoring, regressor and classifier models, and decision tree learning, using novel methods;
Employ statistical programming through, Python, R, Dataiku, and toolkits (Scikit-learn, Pandas, Numpy, Scipy, PySpark, Jupyter Notebook and kernel, Macro) across disparate environments including Linux/Unix command line and shell scripting, virtual and clouds
Execute and automate data preprocessing via relational systems (AWS, Redshift, SQL Server, MySQL, Postgre, and, Oracle), and parallel computing for big data, using analytics engine and cluster computing frameworks: Apache Spark and Hadoop MapReduce, Apache Tez, and Yarn.
#LI-JP1",3.0,"Medifast, Inc.
3.0","Baltimore, MD",-1,501 to 1000 Employees,1980,Company - Public,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD),-1
15,Data Scientist,-1,"Job Title: Data Scientists

Job Description
Join an elite group dedicated to continuous personal improvement as GCT is currently seeking Data Scientists of all levels to support an intelligence agency with insights gained from analyzing voluminous sensor data. The ideal candidate is adept at using large data sets to find opportunities for process optimization and using models to test the effectiveness of different courses of action. Candidates must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Clearance: TS/SCI w/Full scope polygraph (or used within the past 24 months)

Education/Experience Requirements

Senior Positions:
Masters degree in Data Science, Statistics, Mathematics, Computer Science or another quantitative field, or extensive comparable experience
10+ years of relevant experience
Junior/Intermediate Positions
Completed B.S. in Data Science, Mathematics, Statistics, Computer Science, Computer Engineering, or a closely related technical field
3-9 years of relevant experience
Qualifications
Experience using statistical computer languages (SAS, SPSS, R, Python, SLQ, etc.) to manipulate data and draw insights fromlarge data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Excellent written and verbal communication skills
Strong problem solving skills
A drive to learn and master new technologies and techniques
Desired Skills
Experience manipulating data sets and building statistical models
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, Bayes, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, AWS, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
The success of Great-Circle Technologies depends on the success and well-being of its employees. GCT promotes work/life balance and encourages the overall well-being of each of its contributors. A comprehensive benefits package is provided, which currently includes company paid single medical, dental, life, disability, and long-term care insurances (with contributions to family premiums,) matching 401k plan, 34 days off per year including 10 Federal holidays plus the day after Thanksgiving, Christmas and New Year’s eves!

Join us at Great-Circle Technologies, where innovation is the shortest distance between two points.

Great-Circle Technologies is an Equal Opportunity Employer. Great-Circle Technologies ensures all qualified applicants will receive consideration for employment without regard to gender, race, ethnic background, religion, disability, sexual orientation, gender identity, national origin, age, or protected veteran status.",2.2,"Great-Circle Technologies
2.2","Chantilly, VA",-1,1 to 50 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1
16,Data Engineer,-1,"Summary of Responsibilities

Codes and develops software applications. Works as part of a development team on the design and implementation of analytical applications, including current Business Intelligence technologies, modern programming languages (Python, Scala, R) and current SQL database skills. Conducts requirement analysis, produces design documents on proposed solutions, and delivers consistent, test-covered, high quality code in a timely fashion. Recommends and completes product revisions or enhancements based on feedback. Develops and maintains documentation as required.

Performs work under minimal supervision. Handles moderate to complex issues and problems, and engages higher-level staff on only the most complex issues as necessary. Possesses comprehensive knowledge of subject matter. Provides coaching, and/or mentoring to a subordinate group.

Preferred Experience and Skills

Four to Eight year of related experience
Technical expertise and detail orientated
Complex problem-solving and critical thinking skills
Analytical thinking skills
Ability to build collaborative skills
Agile/SCRUM methodology experience
Azure DevOps experience
Property and Casualty insurance experience
4+ years of Hands-on experience with SQL databases, SSIS/Informatica ETL, Power BI, Cloud based integration tools.
Knowledge of Data warehousing concepts, and data modeling using Kimball methodology.

Preferred Education and Training

Bachelor’s degree in Computer Science or related field

INDSP",3.6,"West Bend Mutual Insurance Company
3.6","West Bend, WI",-1,1001 to 5000 Employees,1894,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1
17,Data Scientist,-1,"Company Description

MMIT is growing from the leading drug coverage data business into a comprehensive, integrated market access company serving pharmaceutical manufacturers, health insurers, PBMs and healthcare IT companies. Their suite of applications is designed to manage an ever-changing proprietary set of pharmacy and medical benefit information and to provide a structured view of complex market access information. By embedding their data and SaaS applications across healthcare, they help ensure transparency, consistency and informed prescription decisions across the MMIT Network. They partner with hundreds of payers and pharma manufacturers ensuring that their products continually capture and analyze coverage and restriction criteria for more than 98% covered lives.

Team Overview

The MMIT Product Management Team is charged with developing, growing and maintaining the MMIT product portfolio that smooth access to lifechanging therapies. This entails managing products through all phases of the product lifecycle, from concept to sunset. The product management team embraces a market-backed perspective, champions unmet client needs, and is committed to a highly accountable and collaborative Product Management approach.

Job Description

MMIT is seeking experienced Data Scientists to meaningful contributes to the growth and development of the MMIT product portfolio. Ideal candidates are comfortable working with large, complex data sets to help inform, simplify and actualize key product capabilities. They will have comfort collaborating with various stakeholders and navigating ambiguity with limited direction. They will dedicate themselves to understanding the MMIT product portfolio (both current capabilities and future product roadmaps) and key data dependencies to inform data models, architecture, and new product development.

To succeed in this role, you will apply your skillset to

· Inform, create and/or maintain master data hierarchy, attributes and structure.

· Bridge claims data and coverage data – Refine existing rules and create and continually improve new methods for accurately assigning pharmacy and medical claims volumes to MMIT controller entities

· Apply data science to the creation of short and long form geographic market and controller entity descriptive narratives (NLP / NLG)

· Translate product management strategy into actionable data science deliverables, guiding development of data models, business rules and other advanced analytical capabilities

· Excel at communicating across a broad set of cross-functional stakeholders.

· Work collaboratively with MMIT product and data teams to develop and/or commercialize analytics use cases that may include market access, coverage / lives, and RWE data

· Effectively partner with external organizations including clients and vendors to develop meaning and projectable analytics about trends in market access dynamics across payers, geographies, indications, drugs, etc.

· Identify and evaluate additional data sources that could be integrated in value enhancing ways.

· Build reports, dashboards and/or other analyses as needed and/or as specific initiatives arise.

· Support various commercial or commercialization efforts as needed.

· Take a leading role in developing data science as a discipline across product management, development and data operations.

Qualifications

Relevant Skills and Experiences

· Postgraduate degree or higher involving machine learning, statistics, or computer science

· Experience of statistical / machine learning projects in academia or commercial sector end to end with proven delivery capability including capturing requirements, designing analysis plans, interfacing with clients and report / manuscript writing

· Experience in applying Natural Language Processing and related AI capabilities.

· Experience working with large and complex healthcare datasets, preferably patient-level longitudinal data and experience with studies of treatment effectiveness/outcomes, disease progression, adherence, healthcare utilization, patient journey, sales targeting, prescription/procedure volumes/shares, provider networks and prescribing/treatment patterns, etc

· Strong related programming skills including experience with good coding practices and a thorough understanding of the data science package landscape. Familiarity with Tableau and PowerBI a plus.

· Familiarity with agile software development practices

· Excellent written and spoken communication skills, including ability to present technical concepts to lay audiences, write analysis plans for projects, contribute to proposals / grant applications, pitch ideas effectively and persuasively to clients / internal stakeholders, etc.

· Demonstrated ability to work both collaboratively to solve complex problems and individually to research/advance areas of interest and exploration

· Proven ability to develop meaningful/valuable analytic insights from multiple data sources and support value through commercialization

Preferred candidates may also have

· Experience supporting or launching Data and Analytics or SaaS-based enterprise product

· Experience in managed markets and pharma market access ecosystem

· Experience in the commercial health insurance industry

· Knowledge of payer marketing, drug development lifecycle and drug launch process

Additional Information

All your information will be kept confidential according to EEO guidelines.

Position will be based in Livingston NJ or Yardley PA

(highly qualified remote applicants will be considered)

Travel Requirements:

Approximately <10>",3.8,"MMIT
3.8","Yardley, PA",-1,201 to 500 Employees,1994,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
18,Data Scientist,-1,"AIS has a workshare opportunity for a Data Scientist (TS/FSPOLY required) on a large, newly awarded contract. In this role you will develop machine learning, data mining, statistical and graph-based algorithms to analyze and make sense of datasets; prototype or consider several algorithms and decide upon final model based on suitable performance metrics.
Roles and Responsibilities:
Produce data visualizations that provide insight into dataset structure and meaning
Work with subject matters experts (SMEs) to identify important information in raw data and
develop scripts that extract this information from a variety of data formats (e.g., SQL tables, structured metadata, network logs)
Incorporate SME input into feature vectors suitable for analytic development and testing
Translate customer qualitative analysis process and goals into quantitative formulations that are coded into software prototypes
Develop and implement statistical, machine learning, and heuristic techniques to create descriptive,
predictive, and prescriptive analytics
Develop statistical tests to make data-driven recommendations and decisions
Develop experiments to collect data or models to simulate data when required data are unavailable
Develop feature vectors for input into machine learning algorithms
Identify the most appropriate algorithm for a given dataset and tune input and model parameters
Evaluate and validate the performance of analytics using standard techniques and metrics (e.g.cross-validation, ROC curves, confusion matrices)
Required Education, Experience and Skills
Master's degree in a quantitative discipline(e.g., statistics, mathematics, operations research, engineering, or computer science).
A Ph.D. in a quantitative discipline can be substituted for three years of experience
Five years of experience analyzing datasets and developing analytics.
Five years of experience programming with data analysis software such as R, Python, SAS, or MATLAB.
An additional two years of experience in software development, cloud development, analyzing datasets or developing descriptive, predictive, and prescriptive analytics can be substituted for a Master's degree.
U.S. Citizenship Required
Must possess a TS/FSPOLY clearance
EOE/AA Disability/Veteran",4.3,"Assured Information Security, Inc. (AIS)
4.3","Fort Meade, MD",-1,201 to 500 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
19,Scientist - Automation,-1,"JOB DESCRIPTION

Title: Scientist - Automation

Department: Vaccine Sciences - Dabney

Location: Richmond, Virginia

PPD is a leading global contract research organization providing comprehensive, integrated drug development, laboratory and lifecycle management services. At PPD, we are passionate, deliberate, and driven by our purpose- to improve health!

Envision a workplace where you have a direct impact on improving health, work alongside expert scientists, use newest technologies and collaborate with industry thought leaders and therapeutic experts. Welcome to PPD® Laboratories, where science is our passion, quality is our commitment and people are the cornerstone of our success.

As a Scientist you will perform a variety of complex sample preparation and analysis procedures to quantitatively measure pharmaceutical and biopharmaceutical compounds in a variety of formulations and/or biological matrices.

At PPD we hire the best, develop ourselves and each other, and recognize the power of being one team. We offer continued career advancement opportunities, award winning training and benefits focused on the health and well being of our employees.

Summarized Purpose:

A scientist possesses a thorough understanding of laboratory procedures and can reliably conduct complex analysis with increased independence. Performs a variety of complex sample preparation and analysis procedures to quantitatively measure pharmaceutical and biopharmaceutical compounds in a variety of formulations and/or biological matrices. Follows validated or experimental analytical procedures with periodic direct supervision. Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications. Enters data into databases and reports. Performs self-review for own data prior to QC submission.

Essential Functions:

Performs a variety of complex sample preparation and analysis procedures to quantitatively measure pharmaceutical and biopharmaceutical compounds in a variety of formulations and /or biological matrices for stability and analytical testing.

Works with multiple functional groups to meet business needs

Plans and organizes work with periodic supervision

Sets up and maintains analytical instrumentation.

Trains on routine operation, maintenance and theory of analytical instrumentation, SOPs and regulatory procedures and guidelines.

Ensures QA findings are addressed appropriately.

Aids and training to other team members.

Problem solving, either independently or with assistance pertaining to extraction and/or instrumentation problems.

Communicates project status to project leader.

Performs work assignments accurately, and in a timely and safe manner.

Reviews, interprets, and analyzes data for technical, quality and compliance to protocols, methods, SOPs, client criteria and Good Manufacturing Practices (GMP) or Good Laboratory Practices (GLP).

Performs self and peer review of the data for accuracy and compliance with reporting requirements prior to submission to QA and issuance to customers.

#GD
#LI-AP1
PPDLABS

Job Qualification

Education and Experience:

Bachelor's degree in science (biology or chemistry prefrred) or equivalent and relevant formal academic / vocational qualification
Previous experience that provides the knowledge, skills, and abilities to perform the job (comparable to 2+ years).
In some cases, an equivalency, consisting of a combination of appropriate education, training and/or directly related experience, will be considered sufficient for an individual to meet the requirements of the role.

Knowledge, Skills and Abilities:

Demonstrated knowledge of multiple laboratory techniques
Knowledge and hands on experience with automated laboratory equipment

Proficient in Microsoft Excel and Word

Proven ability to interpret data by performing trend analysis

Proven ability in technical writing skills

Ability to independently optimize analytical methods

Proven problem solving and troubleshooting abilities

Good written and oral communication skills

Time management and project management skills

Ability to work in a collaborative work environment with a team

Working Environment:

PPD values the health and well being of our employees. We support and encourage individuals to create a healthy and balanced environment where they can thrive. Below is listed the working environment/requirements for this role:

Able to communicate, receive, and understand information and ideas with diverse groups of people in a comprehensible and reasonable manner.
Able to work upright and stationary and/or standing for typical working hours.
Able to lift and move objects up to 25 pounds
Able to work in non-traditional work environments.
Able to use and learn standard office equipment and technology with proficiency.
May have exposure to potentially hazardous elements, including infectious agents, typically found in healthcare or laboratory environments.
Able to perform successfully under pressure while prioritizing and handling multiple projects or activities.

PPD Defining Principles:

We have a strong will to win - We earn our customer’s trust - We are gamechangers - We do the right thing - We are one PPD -

If you resonate with our five principles above, and ultimately wish to accelerate the delivery of safe and effective therapeutics for some of the world’s most urgent health needs, then please submit your application – we’d love to hear from you.

Diversity Statement
PPD is proud to be an affirmative action employer that values diversity as a strength and fosters an environment of mutual respect. PPD is committed to providing equal employment opportunities without regard to age, race, color, pregnancy, national origin, religion, sex, gender identity, sexual orientation, disability, veteran status or status within any other protected group.",3.8,"PPD
3.8","Richmond, VA",-1,10000+ Employees,1985,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
