Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,min_salary,max_salary,avg_salary,city,state,same_state,company_age,job_tag,job_level,num_competitors
Sr. Data Scientist - Sales Analytics,69-118 ,"Zoom is an award-winning workplace. We have been recognized by Comparably as #1 CEO, Company Happiness, Benefits, Compensation, Diversity, and more! Not to mention we've been awarded by Glassdoor as the 2nd Best US workplace & Best Large Company US CEO in 2018, Wealthfront, and Business Insider. Our culture focuses on delivering happiness, our commitment to transparency, and the tangible benefits we provide our employees and our customers.The Data Science team lies at the foundation of Zoom's success. The Data Scientist is one of the most demanding roles at Zoom; it requires the hybrid of a data geek, a business leader, and a project manager that the right person is difficult to find. We are looking for such a rock-star to join our team to focus on Sales analytics!Dialed in on scaling Zoom's go-to-market engine in a period of hyper growth, you will be directly working cross-functionally with teams of Sales professionals, FP&A analysts, and marketers on some of the most critical projects in the company. You will play an important role in driving the growth of Zoom by surfacing, analyzing, and reporting on data that drives mission-critical business decisions. It's a big deal and the qualities and capabilities required mean you are an incredibly intelligent and talented professional. Sound like you?This role is based out of our headquarters in beautiful downtown San Jose, California.RESPONSIBILITIES:* Provide Data Science leadership and become the go to expert in data to the Sales, Sales Ops, and Sales FP&A organizations* Formulates data strategy and participate in the development of the product or division strategy within the Sales related organizations* Unlock new opportunities for growth by discovering insights, automate processes, and predictive modeling* Leading others and project manage to execute Sales driven projects from database - to analysis - to insights - to presentations - to executions* Develop analytical frameworks and provide recommendations to management to drive go-to-market decisions* Write SQL, Python and/or R code; build data models to fuel analytical frameworks and dashboards* Build predictive models based on Salesforce, product usage, and billing data* Provide data hygiene and integrity guidelines and recommendations to operations team* Deep dive into key Sales Metrics including Leads Forecasting, Pipeline Trends and Forecasting, Rep Productivity deep dives, Lead to Bookings conversion rates, Bookings contribution etc.* Build and maintain data visualizations to communicate key Sales metrics and KPIsREQUIREMENTS:* Minimum 6+ years of experience using data to facilitate Sales/Business decisions. 10+ years preferred* Strongly preferred - experience in Sales Data Analytics, Sales Operations, Sales Finance, consulting, or investment banking* Bachelor's or Master's degree in Business, Economics, STEM Degrees or similar fields or MBA* Excellent communication skills with the ability to communicate at C-level* Excellent SQL, Python and/R skills with the ability to execute complicated models* Excellent organization skills with the ability to manage competing priorities* Experience in building Machine Learning models* Strong understanding of Sales processes, Pipeline management, and Sales productivity drivers* Creative solutions driven mindset, with a ""get stuff done"" attitude* Firm believer of data informed decision making* Must have lead or managed team of analyst(s)* Enterprise SaaS experience is mustPERKS:* Opportunity for growth: grow with the company and become a leader* Impact on the ground floor: shape the strategic direction of the company* Make a difference: change the way businesses communicate for the future",4.8,Zoom,"San Jose, CA","San Jose, CA",1001 to 5000 employees,2011,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,69,118,93.5,San Jose, CA,1,9,data scientist,Experienced,0
"Data Scientist / Machine Learning / DL / AI - C++ / CUDA / Syracuse, N",69-118 ,"Description:At Lockheed Martin Rotary & Mission Systems, we are driven by innovation and integrity. We believe that by applying the highest standards of business ethics and visionary thinking, everything is within our reach and yours as a Lockheed Martin employee. Lockheed Martin values your skills, training and education. Come and experience your future!

Lockheed Martin Corporation's Rotary & Mission Systems (RMS) business is in search of an astute software engineering professional to join our team. The engineer will support multiple programs and participate in all phases of the software development lifecycle (design, code, and test). The engineer will leverage RMS software engineering processes and procedures while performing their respective software engineering and verification activities.

In this important role the software engineer will collaborate with other engineering disciplines and program personnel and will participate in cross functional six sigma style product or process improvement meetings. Keeping up-to-date on emerging technologies and tools will be encouraged.

Will be flexible, motivated, dedicated, detail-focused, team-oriented, and capable of multi-tasking. This position is for a SW engineer with extensive experience in the SW Architecture definition, design, implementation, integration and test of complex systems. Will be expected to provide focused technical leadership on domestic and/or international programs.
Basic Qualifications:
Must have the ability to obtain a DOD security clearance to at least the Secret level.

Primary object is to identify and hire a software engineer with strong artificial intelligence, machine learning and/or deep learning programming experience and expertise. Identified candidate will be assigned to a project focused on Cognitive-based Electronic Warfare capabilities. Experience with designing, training, optimizing and inferencing of neural networks is required. An applicable educational background in software systems and software development techniques is required. A proficiency in Object Oriented Programming (OOP) using C++ is required. Linux operating system experience is required. Expertise in Object Oriented Analysis (OOA), Object Oriented Design (OOD), and Rhapsody are required. The ability to be flexible, motivated, dedicated, detail-focused, and team-oriented is required. The ability to multi-task is required. Strong interpersonal skills are required. Strong written and verbal communication skills are required. The ability to collaborate effectively in a team environment is required.

Will have experiences in Real Time SW Development including: Radar, sonar or electronic warfare signal data processing; distributed multi-threaded concurrent SW Architectures and programming; the latest in interprocess communication approaches, technologies and HW architectures including COTS HW processing and COTS HW networking; SW integration and test of systems; experience working in, managing and configuring real time operating systems to include kernel development and HW/SW interfaces.

Software leadership skills will be required, and previous experience is preferred. Technical leadership of a team of embedded, real-time applied software engineers. Demonstrated ability to plan/schedule software tasking, plan and execute Agile-based development efforts while maintaining and using metrics to assess cost and schedule status.
Specific role will be focused on internal research and development (IR&D) projects in the Electronic Warfare (EW) domain. Preferred experience with both ELINT and COMINT aspects of EW. Significant portion of the I&RD effort is focused on developing Machine Learning and Deep Learning based solutions to be applied to next generation EW systems. Experience with any of the following is desired: GPGPUs, CUDA/DIGITS, neural networks, Python, and/or ML/DL Frameworks such as Caffe, Tensor Flow and TensorRT.
Desired Skills:
Solid analytical/debug and SW/HW integration and test skills are desired. Software development skills to include C/C++/C# and/or Java are desired. Familiarity with Digital and RF logic design and test is desired. Experience with test instrumentation and MILSTD HW protocols (e.g. 1553, ARINC) and other interfaces (e.g. VME, Fibre, Ethernet, PCI, JTAG/1149.1) is desired. Experience with Ada, DOORS, VxWorks, or UML modeling tools is a plus. Experience with formal software testing, verification, and validation is desirable. Real Time Embedded SW Engineering skills are desired.
BASIC QUALIFICATIONS:
job.Qualifications

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. Theyre dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martins vast team works with partners around the world to bring proven performance to our customers toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
EXPERIENCE LEVEL:
Experienced Professional",3.8,Lockheed Martin,"Liverpool, NY","Bethesda, MD",10000+ employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Boeing, Northrop Grumman, Raytheon Technologies",0,69,118,93.5,Liverpool, NY,0,25,data scientist,n/a,3
Data Scientist - Product,69-118 ,"Honey is a fast-growing startup based in Los Angeles. Our online shopping platform offers users a smarter way to shop. Through a simple browser extension, we open up instant access to exclusive savings, deals, rewards and discovery, all powered by the collective knowledge of Honey's community of online shoppers. We are helping millions save when they shop online, and we're hiring! We are actively seeking a Senior Data Analyst to join the Engineering Team in our Los Angeles office.

We work closely with the Product and Engineering teams to dig into data and try to predict and quantify user behavior, map out certain consumer journeys, and decide on what features to push to production. We work closely with one another but also have autonomy in getting to work on projects that interest us as it relates to business needs.

What You'll Do:

As a Data Scientist - Product at Honey, you will:
Create, measure, and analyze various KPIs to inform decisions and support recommendations across the company
Innovate! Implement innovative quantitative analyses, try new data wrangling techniques, and experiment with new visualization tools
Work with other analysts to build tools and set processes to automate data analyses
Work closely with the product and engineering departments to understand, solve, and anticipate their analytics needs
Foster a culture of transparency: act as the main liaison between other departments to ensure data accuracy and uniform understanding of key metrics
Possess excellent communication and presentation skills
About You:

If you're on the fence about whether you meet all of the requirements for this role, please apply!
4+ years of experience with dashboarding tools like Tableau or similar (Periscope Data is a plus)
4+ years of experience with SQL (BigQuery and MySQL is a plus)
Ability to take vague requirements and transform them into concise deliverables
Ability to manage multiple priorities and a fast-paced environment
Strong working knowledge of Python, R, and/or D3 is a plus
Bachelor's Degree in Statistics, Mathematics or similar
Prior experience at a tech company is a plus
At Honey, we are committed to building a diverse and inclusive company. We seek to create a culture where everyone can belong because we believe that people do their best work when they can show up every day as their authentic selves. We welcome people of different backgrounds, experiences, abilities, and perspectives.

Honey is an equal opportunity employer. We do not make hiring or employment decisions on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, disability status or genetic information, in compliance with applicable federal, state and local law.",4.4,Honey,"Los Angeles, CA","Los Angeles, CA",201 to 500 employees,2012,Subsidiary or Business Segment,Internet,Information Technology,$100 to $500 million (USD),-1,0,69,118,93.5,Los Angeles, CA,1,8,data scientist,n/a,0
Applied Data Scientist and Statistician,69-118 ,"Are you a Data Scientist looking for an opportunity to work on a global consumer brand across the entire business? Do you enjoy partnering across business groups to help answer questions and uncover insights? ASICS Digital is currently seeking an Applied Data Scientist and Statistician to join our Analytics team in Boston.

ASICS Digital, Inc. is a division of ASICS based in Boston, Massachusetts. Our goal is to build digital technologies to better connect the ASICS brand to its consumers. We are responsible for the continued development of mobile-fitness solutions such as ASICS Runkeeper and ASICS Studio, global e-commerce platforms, and other digital services that encourage people to move, get fit and stay balanced.
Job Responsibilities
Develop and support machine-learning models (naïve Bayes, random forest, gradient boosting, neural networks, etc.) that personalize and adapt the user experience for ASICS' fitness apps.
Work with software engineers to productionize these models.
Design and analyze digital experiments for our apps and e-commerce platforms, including analysis of heterogeneous treatment effects and use of Bayesian statistics to describe experimental outcomes.
Identify important factors driving customer behavior using techniques such as Markov chains and the Gale-Shapley algorithm.
Develop forecasting and anomaly detection models using additive regression techniques, such as Facebook’s Prophet.
Educate colleagues on key concepts in statistics, data analysis, and experimentation best practices.
Job Requirements
Master’s degree in Data Science, Statistics or a related field and two years in the job offered or two years data analysis experience.
Experience must include two years each of the following:
Analyzing and developing models with data using a data-oriented programming language such as Python or R
Using AWS services such as SageMaker, Comprehend, and S3
Using Google Analytics to monitor and analyze site performance metrics; building reporting and data visualizations in Tableau
Extracting and manipulating data from cloud data warehouses using Snowflake SQL or Google BigQuery
Analyzing and reporting on the results of A/B tests for websites and mobile applications
Using statistics to compare and contrast populations
Developing and presenting analysis reports and training materials to business stakeholders
Setting up targeted marketing campaigns and experiments using a cloud-based campaign management platform such as MessageGears or Iterable.

Experience may be gained concurrently.
ASICS Digital is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or fitness level.",4.4,ASICS Digital,"Boston, MA","Boston, MA",51 to 200 employees,2008,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,69,118,93.5,Boston, MA,1,12,data scientist,n/a,0
Data Strategy Scientist,69-118 ,"Role Summary:

The Data
Strategy Scientist role resides within
the Decision Sciences & Analytics team and is a key player in
providing operational
support for the coordination, adoption, monitoring, and compliance of data
governance standards and policies to support data science best practices. They will also develop and support methods to
ensure the accuracy and integrity of data frameworks to enhance data access across
the enterprise and shape future strategy for Decision Sciences &
Analytics.

The Decision Sciences
& Analytics team has a clear vision – use data to make better business
decisions that increase customer satisfaction and loyalty. Working
cross-functionally across the organization the Data Strategy Scientist will support our
mission by defining data standards, ensuring the quality of our data,
monitoring compliance, and ensuring the proper use of our data that
positively influences business decisions and direction for Decision Sciences
& Analytics.

The successful candidate will be a collaborator that is
skilled in bringing insights from data to life.
This is a new position, in a new
team, with the unique opportunity to lay the foundation of how data and data
driven decisions become a core element to VW Credit’s strategy.

Role Responsibilities:

Utilize tools and methods to extract, link and manipulate large
data sources – 20
Utilize tools and methods to ensure the accuracy and integrity
of enterprise data – 15
Collaborate with various business and IT stakeholders to report
data quality issues, make remediation recommendations, and provide communicate
the status of enterprise data to data users/owners – 15
Collaborate with business teams on defining & documenting
data across the enterprise – 15
Develop and monitor compliance of Data Governance standards and
policies – 15
Partner with IT and business teams to create and maintain master
data. – 10
Participate in the routine reporting of data quality metrics to
business users as well as upper management. – 5
Execute key data governances processes – intake/demand and
prioritization process, issue management process, and monitoring process - 5
Experience:


Required –
7-9 years of work experience
3 years in utilizing methods and
tools to extract and analyze data from large data sources
3 years utilizing advanced
data programming methods to ensure the accuracy and integrity of
business data for data science and analytics projects
3 years in developing, integrating
and deploying Data Governance solutions
2
years in developing solutions to monitor the utilization of data sources to
ensure compliance with Data Governance standards (Supporting business users to
utilize standardized data approaches)
2
years supporting the developing data strategies to support business needs
2
years in developing and monitoring compliance of Data Governance policies
Education:


Required –
Bachelor’s
degree in Economics, Computer Science, Information Systems, or STEM field
Desired –
Bachelor’s
degree in Economics, Computer Science, Information Systems, or STEM field
Additional
certifications in data sciences or analytics related fields
General Skills:

Strong knowledge of business
processes, information management, data flows, data relationships, and data quality
standards to support decision sciences, analytics, and data governance efforts.
Proficiency with multiple data
environments (Oracle, Hadoop, MySQL, AWS S3/RedShift/RDS)
Proficiency in multiple
programming languages (such as Python, SQL, SAS, R, Java or Scala)
Proficiency with Data Catalog/Metadata
and Data Governance Solutions (Informatica Enterprise Data Catalog and Axon, Collibra,
Alation)
Strong understanding of the
importance and benefits of good data quality, and the ability to champion results
Experience defining
requirements and managing master data, metadata, hierarchies, data
classification, etc.
Experience extracting, linking
and manipulating large data sources using SQL, SAS or other related tools
Demonstrated analytical,
problem solving skills
Initiative and ability to use
technical knowledge to identify and address key issues, and determine
resolution strategies aligned to business needs
Ability to communicate
effectively with team members, peers, and senior management
Ability to think in a creative and innovative manner to create
appropriate and efficient solutions
Excellent interpersonal communication skills (both written and
verbal); ability to communicate and present to a wide variety of audiences,
both business and technical
Ability to build relationships and partnerships, achieving
results through influence, persuasion and the leveraging of these relationships
Positive customer service orientation and responsiveness
Specialized
Skills:
Required –
Experience extracting, linking and manipulating large data
sources using Python, SQL, SAS or other related tools
Experience with Big Data technologies such as Hadoop, Data
Lakes, and AWS
Prior experience with Data Catalog/Metadata and Data Governance
solutions such as Informatica Enterprise Data Catalog and Axon, Collibra, or
Alation
Experience defining requirements and managing master data,
metadata, hierarchies, data classification, etc.
Strong understanding of data warehouse and data lake best
practices
Strong understanding of the importance and benefits of good data
quality, and the ability to champion results to support better business
decisions
Experience working with and effectively collaborating with
reporting, development, and business teams
Comfortable working with tight deadlines; must be proactive and
able to multi-task between multiple initiatives concurrently.
Successful record of accomplishment of thriving in a fast paced,
entrepreneurial and dynamic environment.
Strong communication skills across all mediums and audience
types (technical, business, executive, etc.)
Desired –
Experience in Master Data Management concepts and solutions
Experience with Informatica Metadata Manager, Information
Analyst, Enterprise Data Catalog, and Axon tools
Experience with process mining approaches and tools, such as
ProM
Must be driven, operationally savvy, action-oriented who
continually strives for improvement
Strong critical thinking ability and problem resolution skills.
Experience in Financial Services (automotive finance preferable)
Work Flexibility:

Travel 10"" of the time
Onsite, remote work options dependent on team
operating model and initiative
Flexibility to work outside of core hours
(Monday – Friday) to support business demand
We are proud to
be an EEO employer M/F/D/V. We maintain a drug-free workplace and perform
pre-employment substance abuse testing.",3.2,Audi of America,"Libertyville, IL","Herndon, VA",201 to 500 employees,-1,Subsidiary or Business Segment,Vehicle Dealers,Retail,$100 to $500 million (USD),"BMW, Mercedes-Benz USA, Lexus",0,69,118,93.5,Libertyville, IL,0,-1,other,n/a,3
Data Scientist,69-118 ,"What does WITHIN do?


We are Performance Branding experts. WITHIN works with some of the coolest brands and hottest startups, including Nike, AB InBev, Spanx and Shake Shack. We leverage digital channels and inspiring creative to fuel clients' growth using data every step of the way to drive our decision making.

What you will build as a Data Scientist at WITHIN...
You will cross-functionally collaborate with the Performance and Creative teams to understand our business then build machine-learning models to uncover trends and optimize performance
You will build scalable clustering, customer lifetime value, and churn models to help clients maximize long-term profitability
You will build and maintain data pipelines internal and external teams rely on for making key decisions
You will build and improve our underlying data infrastructure (we currently use Fivetran, GCP/BigQuery, and dbt as our analytics stack)
Requirements

You might be a fit for this role if...
You have professional SQL experience and understand the benefits of columnar storage
You have familiarity with git and the command line
You know how to write object-oriented Python
You have experience building machine learning models for both structured (decision-trees, linear regression, etc) and unstructured data (Computer Vision, NLP)
You understand the benefits of dbt for data transformations
You have the desire to learn Microservice Architecture (Docker and Kubernetes)
You are naturally curious and embrace failure as you learn new technologies
You have an obsession with accuracy
You have excellent listening and collaboration skills
Benefits

We offer competitive salary and benefits based on ability level including:
Competitive salary dependent on experience
Unlimited vacation policy
Anniversary vacation bonus
401k with match
Fully paid health insurance premiums
Monthly transportation and phone stipends
In-house massages, manicures, and haircuts
Daily lunch
Fully stocked kitchen
Dog-friendly office",4.5,WITHIN,"Long Island City, NY","New York, NY",51 to 200 employees,2015,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,69,118,93.5,Long Island City, NY,0,5,data scientist,n/a,0
"Senior Data Scientist, Clinical",69-118 ,"The Opportunity:


Livongo is the leading applied health signals company, partnering with over 800 clients to serve more than 250,000 members. The Data Science team at Livongo works closely with product managers, clinicians and engineers to improve the health of people living with chronic health conditions using advanced modeling and machine learning.

This role is focused on better understanding our members and helping them improve their health outcomes across our supported chronic conditions. Projects will range from causal analysis of observational studies to advanced ML models to predict the dynamics of physiological time series like blood glucose, blood pressure, and body weight.

Responsibilities:
Quantify the impact of Livongo products on member health and identify areas to improve outcomes.
Develop insights and models that enable the whole company to understand our members and make better product decisions.
Use advanced machine learning approaches to understand and improve member outcomes.
Explore and identify new types of signals and models to better understand our members using data from diverse sources, including hardware and mobile sensor data, audio and text data, and clinical and pharmacy data.
Partner closely with clinical leadership, product management and engineering to improve member clinical outcomes using insights and models.
Qualifications:


What you bring
5+ years' experience in Data Science, Business Analytics or a related field in SaaS or consumer
companies.
Demonstrable depth of expertise in Python or R.
A Master's degree or higher in Computer Science, Statistics, Information Systems, Engineering or
a related field. PhD preferred.
An ability to use statistics and machine learning to distill complex problems into clear solutions
that lead to better decision making across the company.
Creativity and good judgement for framing problems with statistics and machine learning.
Expertise with applications in healthcare, causal inference, or time-series analysis is a plus.
Experience designing and building useful, maintainable code for model training, evaluation, and
interpretation.
A pragmatic ability to balance prototyping with incremental cleanup and refactoring along the
way.
Who you are:


Self-driven and intellectually curious, with a proven track record using statistics and machine learning to solve challenging problems.
A strong team player willing to learn new platforms and tools, and to help other team members adopt those tools.
An active listener who can ""read between the lines"" to infer product needs and underlying context.
An open and kind individual seeking to be part of a high-performing, caring team.
Why Join Livongo?


The Transformative Name in Healthcare: The transformative industry forces in Community, Content and Commerce are now household names. As Amazon is to Commerce, Livongo is to Healthcare. With our Applied Health Signals engine, AI+AI, we've transformed how care is delivered.

Our Work Truly Matters: Livongo's proprietary, consumer-first technology is revolutionizing the experience of living with a chronic health condition. Our data-driven digital health engine enables our Members to seamlessly manage multiple health conditions on one empowering platform. We use smart, connected devices, personalized digital guidance, and 24x7x365 access to health professionals to make it easier for people to stay healthier.

Make an Impact: Do you want to accomplish something meaningful? To create results that matter? Livongo's innovative solution produces industry-leading member satisfaction, measurable clinical outcomes and proven healthcare costs savings. Here you can truly improve lives.

The Largest Digital Health IPO in History: We are at a milestone period in our history. On July 25, 2019 we took our company public, in order to elevate and expand the way the industry views us, thus ushering us into a whole new set of mission-critical conversations that will help us accomplish the work still to be done. As we reach new levels of achievement, we accelerate our ability to deliver life-changing services.

Focus on PEOPLE: Livongo has been voted one of the Best Places to Work in healthcare, by Fortune Magazine and Best Place to Work! Talented, passionate individuals make the difference, in this fast-moving, collaborative and inspiring environment.

Diversity and Inclusion: At Livongo we believe that personal and professional diversity is the key to innovation. We hire based solely on your strengths and qualifications, and the way in which those strengths can directly contribute to your success in your new position.

Growth and Innovation: We've already made healthcare history, yet we remain on the threshold of very big things. Leading the industry with our Applied Health Signals category, we have cracked the code to transforming healthcare. Come grow with us and support our mission to make a tangible difference in the lives of our Members.

See photos, watch videos and learn more about Livongo: follow us on Glassdoor.

As an Equal Opportunity Employer, we never have and never will discriminate against any job candidate or employee due to age, race, religion, color, ethnicity, national origin, gender, gender identity/expression, sexual orientation, membership in an employee organization, medical condition, family history, genetic information, veteran status, marital status, parental status or pregnancy (including breastfeeding we have a mother's room in both our offices). In our innovative and inclusive workplace, we prohibit discrimination and harassment of any kind.",4.6,Livongo,"Mountain View, CA","Mountain View, CA",501 to 1000 employees,2014,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,69,118,93.5,Mountain View, CA,1,6,data scientist,Experienced,0
Data Scientists,69-118 ,"Data Scientists

Share

Job ID: FA-0100-620

Open Since: 2020-02-05

City: San Jose
State: California
Country: United States of America

Job Description:


Frontend Arts brings together the brightest minds to create breakthrough technology solutions, helping our customers gain a competitive advantage. At Frontend Arts, we are continuously evolving how we work and how we look at the business challenges, so we can continue to deliver measurable, sustainable solutions to our clients.

We are looking for a self-motivated ""Data Scientists"" with excellent communication and customer service skills.

Job Skills:
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, MySQL, etc
Experience using Spark, Cassandra, TensorFlow etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc
Minimum Experience: 8 Yrs

Education:

Bachelor’s degree from an accredited college/university or equivalent work experience",4.5,Frontend Arts,"San Jose, CA","Irving, TX",1 to 50 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,0,69,118,93.5,San Jose, CA,0,7,data scientist,n/a,0
Data Scientist,69-118 ,"Lightspeed Systems partners with schools to make learning safe, mobile and easily managed. Currently serving 15 million students and 28,000 schools in 35 countries, we are growing! We're looking to add passionate, driven people to help us fulfill our mission.
Are you looking for a challenging role where you can learn lots more and have an impact? Lightspeed Systems is hiring a Data Scientist to join our team.
This is a high visibility role. Success in this role comes from marrying a strong data & modeling background with acute product and business acumen to deliver highly strategic and compelling insights that accelerate our business growth and influence our product decisions.
ABOUT THE ROLE
Creating, validating, and maintaining statistical models
Define and drive data-driven product/features, selecting appropriate combination of methods and tools to exceed customer’s expectations
Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and implementing improvements in efficiency and productivity
Participate in strategic planning discussions - interface with customers, gathering requirements, collaborating with product managers and delivering working prototypes
Create and maintain interactive visualizations through data interpretation and analysis, integrating various reporting components from multiple data sources
Define, implement, and train statistical, machine learning, and deep learning models
ABOUT YOU
Bachelors or Masters in Computer Science, Statistics, math, Finance or other quantitative field.
3+ years of relevant experience in a data science.
Strong communication and interpersonal skills as you’ll work cross-functionally across the organization (marketing, finance, sales, etc.—you will work with every department)
Experience using supervised and unsupervised modeling techniques including but not limited to Decision Trees, Regressions, K-Means, and Neural Networks.
Ability to define and spot macro and micro levels trends with statistical significance on a regular basis and understand key drivers driving those trends.
Work closely with data engineering team to ensure robust data pipelines and model deployment.
Must be an analytical and creative thinker: wherever possible, you look to resolve questions with data.
Strong attention to detail and accuracy – you will be organizing and disseminating significant amounts of information on which business decisions will be made
You have a growth mindset
You hold yourself accountable for delivering results
You work well with teams and help those around you improve.
Desired Tools/Languages
SQL
Python, PySpark and other statistical packages/scripting languages
Experience with AWS Cloud Environment and other Cloud Tools: TensorFlow, CloudML
Experience with traditional data stores (PostgreSQL, SQL Server, MySQL), NoSQL datastores (Cassandra, DynamoDB), and file system stores (HDFS, S3
Applicants must be authorized to work for ANY employer in the US. We are unable to sponsor or take over sponsorship of employment Visa at this time.
ABOUT US
Education is undergoing a technology revolution with new devices and tools being added to the classroom every day and IT departments are responsible for keeping all this technology managed, safe and working. That is where we come in! Lightspeed Systems, ed-tech provider and leader in K-12 device filtering for 20 years, partners with schools to make learning safe, managed and mobile. Learn more at www.lightspeedsystems.com.

We love our employees, and we show it. A sneak peek into our BENEFITS & PERKS include:
Health -- Medical, dental and vision insurance with healthy company contribution toward premiums.
Wellness -- Lightspeed kicks cash into your HSA if you participate our HDHP. Employees are provided an adjustable desk and onsite gyms at some offices. Healthy Holiday and PTO policy.
Retirement -- 401(k) matching up to 6%
Perks -- Fully stocked kitchen with snacks and beverages. Some lunches provided as well!",4.3,Lightspeed Systems,"Austin, TX","Austin, TX",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,0,69,118,93.5,Austin, TX,1,21,data scientist,n/a,0
Emerging Markets Data Scientist,69-118 ,"Morgan Stanley's business around the world is supported by groups and teams with a wide variety of specialized skills. They provide information and strategic thinking to the Management Committee; help to ensure the long-term growth and efficient day-to-day functioning of our business; and serve the well-being of our shareholders, clients and employees.

From the largest global institutions to innovative new hedge funds, investors come to Morgan Stanley for sales, trading, and market-making services in almost every type of financial instruments including stocks, bonds, derivatives, foreign exchange, and commodities. Our professionals provide liquidity and content to clients around the world, actively assessing and managing risk, trading securities, and planning and executing transactions in the fast-changing markets. As the needs of our clients become increasingly complex, we often develop customized solutions.

The candidate will be a part of the Emerging Markets Desk Strategist Team focusing on sales and client performance analysis.

Qualifications
Responsibilities include:
Work closely with salespeople and COOs to analyze data sets with an aim to identify growth opportunities as well as opportunities to streamline and otherwise improve workflow
Identify patterns and/or suggest new and innovative ways to think about the problem at hand
Clean, analyze, and visualize large data sets
Work closely with other teams (IT/Research) to expose data sets that are of interest to other teams both internally and externally.
Skills Required:
Degree in a quantitative subject such as Applied Mathematics, Computer Science, Statistics
5 years working in the financial services industry
Experience in analysis and visualization of large data sets
Strong background in programming for the purpose of data analysis (Q/KDB, Python)
Working knowledge of fixed income products and markets
Drive and desire to work in an intense team-oriented environment
Ability to communicate effectively and clearly both in writing as well as verbally
Requisition #: 3153377

r1d4rh5eu",3.8,Morgan Stanley,"New York, NY","New York, NY",10000+ employees,1935,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,0,69,118,93.5,New York, NY,1,85,data scientist,n/a,0
